Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
PPO,0,0,0,-1,1
PPO,1,1,6,-1.2,1000
PPO,2,1,0,0,2000
PPO,3,1,0,0,3000
PPO,4,1,2,-0.4,4000
PPO,5,1,2,-0.4,5000
PPO,6,2,0,1,6000
PPO,7,1,12,-2.4,7000
PPO,8,1,0,0,8000
PPO,9,1,2,-0.4,9000
PPO,10,1,7,-1.4,10000
PPO,11,1,3,-0.6,11000
PPO,12,1,2,-0.4,12000
PPO,13,1,0,0,13000
PPO,14,1,0,0,14000
PPO,15,1,0,0,15000
PPO,16,1,3,-0.6,16000
PPO,17,1,0,0,17000
PPO,18,1,2,-0.4,18000
PPO,19,1,0,0,19000
PPO,20,1,7,-1.4,20000
PPO,21,1,0,0,21000
PPO,22,1,2,-0.4,22000
PPO,23,0,15,-4,23000
PPO,24,1,7,-1.4,24000
PPO,25,1,2,-0.4,25000
PPO,26,1,0,0,26000
PPO,27,1,0,0,27000
PPO,28,1,4,-0.8,28000
PPO,29,1,0,0,29000
PPO,30,1,0,0,30000
PPO,31,1,0,0,31000
PPO,32,1,9,-1.8,32000
PPO,33,1,4,-0.8,33000
PPO,34,1,0,0,34000
PPO,35,1,0,0,35000
PPO,36,1,4,-0.8,36000
PPO,37,1,0,0,37000
PPO,38,1,6,-1.2,38000
PPO,39,0,11,-3.2,39000
PPO,40,1,0,0,40000
PPO,41,1,3,-0.6,41000
PPO,42,1,1,-0.2,42000
PPO,43,1,3,-0.6,43000
PPO,44,1,2,-0.4,44000
PPO,45,1,0,0,45000
PPO,46,1,3,-0.6,46000
PPO,47,1,0,0,47000
PPO,48,1,0,0,48000
PPO,49,1,7,-1.4,49000
PPO,50,1,0,0,50000
PPO,51,1,0,0,51000
PPO,52,1,0,0,52000
PPO,53,1,0,0,53000
PPO,54,1,0,0,54000
PPO,55,1,1,-0.2,55000
PPO,56,1,9,-1.8,56000
PPO,57,1,0,0,57000
PPO,58,0,7,-2.4,58000
PPO,59,1,0,0,59000
PPO,60,1,3,-0.6,60000
PPO,61,1,15,-3,61000
PPO,62,1,1,-0.2,62000
PPO,63,1,1,-0.2,63000
PPO,64,1,12,-2.4,64000
PPO,65,0,14,-3.8,65000
PPO,66,1,6,-1.2,66000
PPO,67,0,9,-2.8,67000
PPO,68,1,0,0,68000
PPO,69,1,1,-0.2,69000
PPO,70,2,0,1,70000
PPO,71,1,1,-0.2,71000
PPO,72,1,0,0,72000
PPO,73,1,0,0,73000
PPO,74,1,0,0,74000
PPO,75,1,0,0,75000
PPO,76,1,0,0,76000
PPO,77,1,8,-1.6,77000
PPO,78,1,0,0,78000
PPO,79,1,5,-1,79000
PPO,80,1,5,-1,80000
PPO,81,1,6,-1.2,81000
PPO,82,0,1,-1.2,82000
PPO,83,1,2,-0.4,83000
PPO,84,1,3,-0.6,84000
PPO,85,1,4,-0.8,85000
PPO,86,1,3,-0.6,86000
PPO,87,1,0,0,87000
PPO,88,1,15,-3,88000
PPO,89,1,0,0,89000
PPO,90,0,9,-2.8,90000
PPO,91,1,11,-2.2,91000
PPO,92,1,7,-1.4,92000
PPO,93,0,5,-2,93000
PPO,94,1,12,-2.4,94000
PPO,95,1,3,-0.6,95000
PPO,96,1,12,-2.4,96000
PPO,97,1,5,-1,97000
PPO,98,1,4,-0.8,98000
PPO,99,1,0,0,99000
PPO,100,1,0,0,100000
PPO,101,1,0,0,101000
PPO,102,1,0,0,102000
PPO,103,1,0,0,103000
PPO,104,1,2,-0.4,104000
PPO,105,1,3,-0.6,105000
PPO,106,1,0,0,106000
PPO,107,1,0,0,107000
PPO,108,1,0,0,108000
PPO,109,1,0,0,109000
PPO,110,1,4,-0.8,110000
PPO,111,1,0,0,111000
PPO,112,1,0,0,112000
PPO,113,0,7,-2.4,113000
PPO,114,1,0,0,114000
PPO,115,1,1,-0.2,115000
PPO,116,1,1,-0.2,116000
PPO,117,1,2,-0.4,117000
PPO,118,1,4,-0.8,118000
PPO,119,1,0,0,119000
PPO,120,1,0,0,120000
PPO,121,1,0,0,121000
PPO,122,1,0,0,122000
PPO,123,1,1,-0.2,123000
PPO,124,0,9,-2.8,124000
PPO,125,1,1,-0.2,125000
PPO,126,1,4,-0.8,126000
PPO,127,1,0,0,127000
PPO,128,1,0,0,128000
PPO,129,1,0,0,129000
PPO,130,1,0,0,130000
PPO,131,1,1,-0.2,131000
PPO,132,1,2,-0.4,132000
PPO,133,1,1,-0.2,133000
PPO,134,0,10,-3,134000
PPO,135,1,1,-0.2,135000
PPO,136,1,0,0,136000
PPO,137,1,2,-0.4,137000
PPO,138,1,0,0,138000
PPO,139,0,6,-2.2,139000
PPO,140,1,3,-0.6,140000
PPO,141,1,0,0,141000
PPO,142,1,0,0,142000
PPO,143,1,0,0,143000
PPO,144,1,1,-0.2,144000
PPO,145,1,0,0,145000
PPO,146,1,0,0,146000
PPO,147,1,8,-1.6,147000
PPO,148,1,6,-1.2,148000
PPO,149,1,4,-0.8,149000
PPO,150,1,4,-0.8,150000
PPO,151,2,1,0.8,151000
PPO,152,0,9,-2.8,152000
PPO,153,1,5,-1,153000
PPO,154,1,2,-0.4,154000
PPO,155,1,2,-0.4,155000
PPO,156,1,7,-1.4,156000
PPO,157,1,1,-0.2,157000
PPO,158,1,9,-1.8,158000
PPO,159,0,2,-1.4,159000
PPO,160,1,0,0,160000
PPO,161,1,4,-0.8,161000
PPO,162,1,0,0,162000
PPO,163,1,0,0,163000
PPO,164,1,10,-2,164000
PPO,165,1,3,-0.6,165000
PPO,166,1,0,0,166000
PPO,167,1,5,-1,167000
PPO,168,1,0,0,168000
PPO,169,1,0,0,169000
PPO,170,1,0,0,170000
PPO,171,1,5,-1,171000
PPO,172,1,0,0,172000
PPO,173,1,5,-1,173000
PPO,174,1,10,-2,174000
PPO,175,1,3,-0.6,175000
PPO,176,1,7,-1.4,176000
PPO,177,1,2,-0.4,177000
PPO,178,1,9,-1.8,178000
PPO,179,1,5,-1,179000
PPO,180,1,0,0,180000
PPO,181,1,0,0,181000
PPO,182,1,4,-0.8,182000
PPO,183,1,0,0,183000
PPO,184,1,4,-0.8,184000
PPO,185,1,4,-0.8,185000
PPO,186,1,4,-0.8,186000
PPO,187,1,18,-3.6,187000
PPO,188,1,0,0,188000
PPO,189,1,3,-0.6,189000
PPO,190,1,6,-1.2,190000
PPO,191,1,0,0,191000
PPO,192,1,6,-1.2,192000
PPO,193,1,0,0,193000
PPO,194,1,1,-0.2,194000
PPO,195,0,1,-1.2,195000
PPO,196,1,1,-0.2,196000
PPO,197,1,5,-1,197000
PPO,198,1,11,-2.2,198000
PPO,199,1,0,0,199000
PPO,200,1,8,-1.6,200000
PPO,201,1,0,0,201000
PPO,202,1,0,0,202000
PPO,203,1,0,0,203000
PPO,204,1,24,-4.8,204000
PPO,205,1,7,-1.4,205000
PPO,206,0,8,-2.6,206000
PPO,207,1,4,-0.8,207000
PPO,208,1,1,-0.2,208000
PPO,209,1,0,0,209000
PPO,210,1,0,0,210000
PPO,211,1,1,-0.2,211000
PPO,212,1,2,-0.4,212000
PPO,213,1,0,0,213000
PPO,214,1,0,0,214000
PPO,215,1,0,0,215000
PPO,216,1,5,-1,216000
PPO,217,1,0,0,217000
PPO,218,1,0,0,218000
PPO,219,1,1,-0.2,219000
PPO,220,1,0,0,220000
PPO,221,1,0,0,221000
PPO,222,1,4,-0.8,222000
PPO,223,1,0,0,223000
PPO,224,1,8,-1.6,224000
PPO,225,1,0,0,225000
PPO,226,1,0,0,226000
PPO,227,0,4,-1.8,227000
PPO,228,1,0,0,228000
PPO,229,1,0,0,229000
PPO,230,1,0,0,230000
PPO,231,1,7,-1.4,231000
PPO,232,1,1,-0.2,232000
PPO,233,1,0,0,233000
PPO,234,1,9,-1.8,234000
PPO,235,1,0,0,235000
PPO,236,1,2,-0.4,236000
PPO,237,1,0,0,237000
PPO,238,1,0,0,238000
PPO,239,0,5,-2,239000
PPO,240,1,0,0,240000
PPO,241,1,4,-0.8,241000
PPO,242,1,0,0,242000
PPO,243,1,0,0,243000
PPO,244,1,1,-0.2,244000
PPO,245,1,3,-0.6,245000
PPO,246,1,7,-1.4,246000
PPO,247,1,0,0,247000
PPO,248,1,2,-0.4,248000
PPO,249,1,4,-0.8,249000
PPO,250,1,0,0,250000
PPO,251,0,9,-2.8,251000
PPO,252,1,5,-1,252000
PPO,253,1,17,-3.4,253000
PPO,254,1,4,-0.8,254000
PPO,255,1,4,-0.8,255000
PPO,256,1,0,0,256000
PPO,257,1,0,0,257000
PPO,258,1,0,0,258000
PPO,259,1,5,-1,259000
PPO,260,1,0,0,260000
PPO,261,1,6,-1.2,261000
PPO,262,1,2,-0.4,262000
PPO,263,1,0,0,263000
PPO,264,1,0,0,264000
PPO,265,1,0,0,265000
PPO,266,1,0,0,266000
PPO,267,1,1,-0.2,267000
PPO,268,1,0,0,268000
PPO,269,1,0,0,269000
PPO,270,1,0,0,270000
PPO,271,1,0,0,271000
PPO,272,1,0,0,272000
PPO,273,1,5,-1,273000
PPO,274,1,9,-1.8,274000
PPO,275,1,0,0,275000
PPO,276,1,3,-0.6,276000
PPO,277,1,0,0,277000
PPO,278,1,0,0,278000
PPO,279,1,0,0,279000
PPO,280,1,0,0,280000
PPO,281,1,0,0,281000
PPO,282,1,0,0,282000
PPO,283,1,0,0,283000
PPO,284,1,3,-0.6,284000
PPO,285,1,0,0,285000
PPO,286,1,3,-0.6,286000
PPO,287,1,0,0,287000
PPO,288,1,0,0,288000
PPO,289,1,5,-1,289000
PPO,290,1,3,-0.6,290000
PPO,291,1,1,-0.2,291000
PPO,292,1,0,0,292000
PPO,293,1,0,0,293000
PPO,294,1,1,-0.2,294000
PPO,295,1,0,0,295000
PPO,296,1,0,0,296000
PPO,297,1,0,0,297000
PPO,298,1,0,0,298000
PPO,299,1,0,0,299000
PPO,300,1,3,-0.6,300000
PPO,301,1,0,0,301000
PPO,302,1,3,-0.6,302000
PPO,303,1,0,0,303000
PPO,304,1,0,0,304000
PPO,305,1,0,0,305000
PPO,306,1,0,0,306000
PPO,307,1,0,0,307000
PPO,308,1,4,-0.8,308000
PPO,309,1,0,0,309000
PPO,310,1,0,0,310000
PPO,311,1,0,0,311000
PPO,312,1,0,0,312000
PPO,313,1,0,0,313000
PPO,314,1,0,0,314000
PPO,315,0,9,-2.8,315000
PPO,316,1,0,0,316000
PPO,317,1,9,-1.8,317000
PPO,318,1,1,-0.2,318000
PPO,319,1,1,-0.2,319000
PPO,320,1,3,-0.6,320000
PPO,321,1,0,0,321000
PPO,322,1,3,-0.6,322000
PPO,323,1,0,0,323000
PPO,324,1,3,-0.6,324000
PPO,325,1,3,-0.6,325000
PPO,326,1,0,0,326000
PPO,327,1,3,-0.6,327000
PPO,328,1,0,0,328000
PPO,329,1,0,0,329000
PPO,330,1,0,0,330000
PPO,331,1,4,-0.8,331000
PPO,332,1,0,0,332000
PPO,333,1,9,-1.8,333000
PPO,334,1,0,0,334000
PPO,335,1,0,0,335000
PPO,336,1,0,0,336000
PPO,337,1,0,0,337000
PPO,338,1,0,0,338000
PPO,339,1,0,0,339000
PPO,340,1,0,0,340000
PPO,341,1,0,0,341000
PPO,342,1,3,-0.6,342000
PPO,343,1,0,0,343000
PPO,344,1,0,0,344000
PPO,345,1,0,0,345000
PPO,346,1,0,0,346000
PPO,347,0,9,-2.8,347000
PPO,348,1,0,0,348000
PPO,349,1,0,0,349000
PPO,350,1,0,0,350000
PPO,351,1,0,0,351000
PPO,352,1,0,0,352000
PPO,353,1,0,0,353000
PPO,354,1,0,0,354000
PPO,355,1,4,-0.8,355000
PPO,356,1,0,0,356000
PPO,357,1,3,-0.6,357000
PPO,358,1,0,0,358000
PPO,359,1,0,0,359000
PPO,360,1,0,0,360000
PPO,361,1,1,-0.2,361000
PPO,362,1,0,0,362000
PPO,363,1,1,-0.2,363000
PPO,364,1,1,-0.2,364000
PPO,365,2,0,1,365000
PPO,366,1,0,0,366000
PPO,367,1,1,-0.2,367000
PPO,368,1,0,0,368000
PPO,369,1,0,0,369000
PPO,370,1,0,0,370000
PPO,371,1,3,-0.6,371000
PPO,372,1,0,0,372000
PPO,373,1,0,0,373000
PPO,374,1,0,0,374000
PPO,375,1,0,0,375000
PPO,376,1,0,0,376000
PPO,377,1,4,-0.8,377000
PPO,378,1,0,0,378000
PPO,379,1,0,0,379000
PPO,380,1,0,0,380000
PPO,381,1,0,0,381000
PPO,382,1,0,0,382000
PPO,383,1,1,-0.2,383000
PPO,384,1,0,0,384000
PPO,385,1,0,0,385000
PPO,386,1,0,0,386000
PPO,387,1,0,0,387000
PPO,388,1,0,0,388000
PPO,389,1,0,0,389000
PPO,390,1,0,0,390000
PPO,391,2,0,1,391000
PPO,392,1,0,0,392000
PPO,393,1,0,0,393000
PPO,394,1,0,0,394000
PPO,395,1,0,0,395000
PPO,396,1,2,-0.4,396000
PPO,397,1,0,0,397000
PPO,398,1,1,-0.2,398000
PPO,399,1,0,0,399000
PPO,400,1,0,0,400000
PPO,401,1,0,0,401000
PPO,402,1,2,-0.4,402000
PPO,403,1,0,0,403000
PPO,404,1,1,-0.2,404000
PPO,405,1,0,0,405000
PPO,406,1,0,0,406000
PPO,407,1,3,-0.6,407000
PPO,408,1,0,0,408000
PPO,409,1,1,-0.2,409000
PPO,410,1,0,0,410000
PPO,411,1,1,-0.2,411000
PPO,412,1,0,0,412000
PPO,413,2,0,1,413000
PPO,414,1,0,0,414000
PPO,415,1,0,0,415000
PPO,416,1,0,0,416000
PPO,417,1,0,0,417000
PPO,418,1,0,0,418000
PPO,419,1,4,-0.8,419000
PPO,420,1,3,-0.6,420000
PPO,421,1,0,0,421000
PPO,422,0,5,-2,422000
PPO,423,1,0,0,423000
PPO,424,1,0,0,424000
PPO,425,1,0,0,425000
PPO,426,1,0,0,426000
PPO,427,1,0,0,427000
PPO,428,1,2,-0.4,428000
PPO,429,1,3,-0.6,429000
PPO,430,1,0,0,430000
PPO,431,1,0,0,431000
PPO,432,1,0,0,432000
PPO,433,1,0,0,433000
PPO,434,1,0,0,434000
PPO,435,1,0,0,435000
PPO,436,1,0,0,436000
PPO,437,1,0,0,437000
PPO,438,1,0,0,438000
PPO,439,1,0,0,439000
PPO,440,1,0,0,440000
PPO,441,2,2,0.6,441000
PPO,442,1,0,0,442000
PPO,443,1,0,0,443000
PPO,444,1,0,0,444000
PPO,445,1,0,0,445000
PPO,446,2,0,1,446000
PPO,447,1,0,0,447000
PPO,448,1,0,0,448000
PPO,449,1,0,0,449000
PPO,450,1,0,0,450000
PPO,451,1,0,0,451000
PPO,452,1,0,0,452000
PPO,453,1,0,0,453000
PPO,454,1,0,0,454000
PPO,455,1,0,0,455000
PPO,456,1,0,0,456000
PPO,457,1,0,0,457000
PPO,458,1,0,0,458000
PPO,459,1,0,0,459000
PPO,460,1,0,0,460000
PPO,461,1,0,0,461000
PPO,462,1,0,0,462000
PPO,463,1,0,0,463000
PPO,464,1,0,0,464000
PPO,465,1,0,0,465000
PPO,466,1,0,0,466000
PPO,467,1,0,0,467000
